,Category,Congress,District,Member,Party,Reason,Resignation Date,Source
35,E,112th,KY-04,Geoff Davis,R,"""Family health issue""",7/31/2012,POLITICO
36,E & F,112th,MI-11,Thad McCotter,R,Bungled presidential campaign led to family concerns,7/6/2012,Washington Post
37,C,112th,WA-01,Jay Inslee,D,To focus on his run for governor,3/20/2012,Roll Call
38,E,112th,AZ-08,Gabby Giffords,D,Recovery from gunshot injury,1/25/2012,CNN
39,X,112th,OR-01,David Wu,D,Sexual harassment/sex with teenage girl,8/3/2011,The Oregonian
40,A,112th,NY-09,Anthony Weiner,D,Extramarital affair/sexting,6/21/2011,New York Times
41,C,112th,NV-02,Dean Heller,R,Appointed U.S. senator,5/9/2011,Las Vegas Sun
42,A,112th,NV-SEN,John Ensign,R,Ethics investigation into extramarital affair,5/3/2011,Washington Post
43,D,112th,CA-36,Jane Harman,D,Took a job with the Woodrow Wilson Center,2/28/2011,Wilson Center
44,A,112th,NY-26,Chris Lee,R,Extramarital affair/shirtless photo,2/9/2011,ABC News
45,C,111th,IL-10,Mark Kirk,R,Elected U.S. senator,11/29/2010,Associated Press
46,A,111th,IN-03,Mark Souder,R,Extramarital affair,5/21/2010,Washington Post
47,B & C,111th,GA-09,Nathan Deal,R,To focus on his run for governor; ethics investigation,3/21/2010,CREW
48,X,111th,NY-29,Eric Massa,D,Sexual harassment/groping (same-sex),3/8/2010,The Week
49,C,111th,HI-01,Neil Abercrombie,D,To focus on his run for governor,2/28/2010,NPR
50,D,111th,FL-19,Robert Wexler,D,Took a job with Middle East think tank,1/3/2010,Lexology
51,C,111th,NY-23,John McHugh,R,Appointed to Obama administration,9/21/2009,New York Times
52,D & E,111th, FL-SEN,Mel Martinez,R,"""To move on,"" spend time with family; later joined lobbying firm",9/9/2009,New York Times
53,C,111th,CA-10,Ellen Tauscher,D,Appointed to Obama administration,6/26/2009,KNTV
54,C,111th,CA-32,Hilda Solis,D,Appointed to Obama administration,2/24/2009,Associated Press
55,C,111th,NY-20,Kirsten Gillibrand,D,Appointed U.S. senator,1/26/2009,New York Daily News
56,C,111th,NY-SEN,Hillary Clinton,D,Appointed to Obama administration,1/21/2009,CNN
57,C,111th,CO-SEN,Ken Salazar,D,Appointed to Obama administration,1/20/2009,Denver Post
58,C,111th,DE-SEN,Joe Biden,D,Elected vice president,1/15/2009,CNN
59,C,110th,IL-05,Rahm Emanuel,D,Appointed to Obama administration,1/2/2009,CNN
60,D,110th,VA-11,Tom Davis,R,Took a job with Deloitte,11/24/2008,Washington Post
61,C,110th,IL-SEN,Barack Obama,D,Elected president,11/16/2008,CNN
62,D & F,110th,MD-04,Albert Wynn,D,Took a job with a law firm after losing primary,5/31/2008,Washington Post
63,D,110th,LA-06,Richard Baker,R,Took a job with the Managed Funds Association,2/2/2008,New Orleans Times-Picayune
64,C,110th,LA-01,Bobby Jindal,R,Elected Louisiana governor,1/14/2008,Reuters
65,C,110th,MS-01,Roger Wicker,R,Appointed U.S. senator,12/31/2007,The Guardian
66,D,110th,MS-SEN,Trent Lott,R,"""Time left to do something else""; founded a lobbying firm",12/18/2007,New York Times
67,F,110th,IL-14,Dennis Hastert,R,"No reason given, but had lost the speaker's gavel",11/26/2007,FOX News
68,D,110th,MA-05,Marty Meehan,D,Took a job with University of Massachusetts,7/1/2007,Associated Press
69,B,109th,OH-18,Bob Ney,R,Pleaded guilty to Abramoff influence-peddling scandal,11/3/2006,Associated Press
70,X,109th,FL-16,Mark Foley,R,Sexting with underage pages (same-sex),9/29/2006,Washington Post
71,B,109th,TX-22,Tom DeLay,R,Campaign finance laundering & Abramoff scandal involvement,6/9/2006,New York Times
72,C,109th,NJ-SEN,Jon Corzine,D,Elected New Jersey governor,1/17/2006,U.S. Congress
73,C,109th,NJ-13,Bob Menendez,D,Appointed U.S. senator,1/16/2006,New York Times
74,B,109th,CA-50,Duke Cunningham,R,Bribery and tax evasion,12/1/2005,San Diego Union-Tribune
75,C,109th,CA-48,Christopher Cox,R,Appointed to Bush administration,8/2/2005,Securities & Exchange Commission
76,C,109th,OH-02,Rob Portman,R,Appointed to Bush administration,4/29/2005,New York Times
77,C,108th,FL-14,Porter Goss,R,Appointed to Bush administration,9/23/2004,CQ Almanac
78,D,108th,NE-01,Doug Bereuter,R,Took a job with the Asia Foundation,8/31/2004,CQ Almanac
79,B & E,108th,NC-01,Frank Ballance,D,Ill health; fraud and money laundering,6/11/2004,Associated Press
80,B,108th,SD-AL,Bill Janklow,R,Convicted of manslaughter for a fatal car accident,1/20/2004,Minnesota Public Radio
81,C,108th,KY-06,Ernie Fletcher,R,Elected Kentucky governor,12/8/2003,Fletcher/Pence Inaugural
82,E,108th,TX-19,Larry Combest,R,"Wife lost DC-area job, wanted to spend more time with her",5/31/2003,Plainview Daily Herald
83,C,107th,AK-SEN,Frank Murkowski,R,Elected Alaska governor,12/2/2002,U.S. Congress
84,C,107th,OH-03,Tony Hall,D,Appointed to Bush administration,9/9/2002,New York Times
85,B,107th,OH-17,James Traficant,D,"Convicted of bribery, tax evasion, and racketeering",7/24/2002,CNN
86,C,107th,OK-01,Steve Largent,R,To focus on his run for governor,2/15/2002,The Oklahoman
87,E,107th,FL-01,Joe Scarborough,R,To spend more time with his sons,9/5/2001,Northwest Florida Daily News
88,C,107th,AR-03,Asa Hutchinson,R,Appointed to Bush administration,8/6/2001,Log Cabin Democrat
89,B & E,107th,PA-09,Bud Shuster,R,"Ethics rebuke; ""health scares""",2/5/2001,ABC News
90,A,106th,LA-01,Bob Livingston,R,Extramarital affairs,3/1/1999,New York Times
91,F,106th,GA-06,Newt Gingrich,R,Faced caucus revolt after disappointing midterm,1/3/1999,New York Times
92,D,105th,CA-09,Ron Dellums,D,"""To do other things""; ended up consulting for healthcare company",2/6/1998,Washington Post
93,D,105th,NY-06,Floyd Flake,D,To focus on his job as church pastor,11/17/1997,New York Times
94,C,105th,PA-01,Thomas Foglietta,D,Appointed to Clinton administration,11/11/1997,Associated Press
95,D,105th,NY-13,Susan Molinari,R,Took a job with CBS,8/2/1997,CNN
96,C,105th,NM-03,Bill Richardson,D,Appointed to Clinton administration,2/13/1997,San Francisco Chronicle
97,C,104th,AR-02,Ray Thornton,D,Elected Arkansas Supreme Court justice,1/1/1997,U.S. Congress
98,C,104th,KS-02,Sam Brownback,R,Elected U.S. senator,11/7/1996,U.S. House of Representatives
99,D,104th,TX-02,Charlie Wilson,D,Probably to start clock on lobbyist waiting period,10/8/1996,Longview News-Journal
100,C,104th,KS-SEN,Bob Dole,R,To focus on his run for president,6/11/1996,U.S. Congress
101,D,104th,MD-07,Kweisi Mfume,D,Took a job with the NAACP,2/18/1996,Washington Post
102,C,104th,OR-03,Ron Wyden,D,Elected U.S. senator,2/5/1996,U.S. Congress
103,B,104th,CA-37,Walter Tucker III,D,Convicted of extortion and tax evasion,12/15/1995,New York Times
104,D,104th,CA-15,Norman Mineta,D,Took a job with Lockheed Martin,10/10/1995,Los Angeles Times
105,X,104th,IL-02,Mel Reynolds,D,Convicted of sex with 16-year-old girl,10/1/1995,New York Times
106,X,104th,OR-SEN,Bob Packwood,R,Sexual harassment/assault,10/1/1995,NPR
107,D,103rd,OK-SEN,David Boren,D,Took a job with University of Oklahoma,11/15/1994,Los Angeles Times
108,C,103rd,OK-01,Jim Inhofe,R,Elected U.S. senator,11/15/1994,U.S. Congress
109,D,103rd,OK-06,Glenn English,D,Took a job with National Rural Electric Cooperative Association,1/7/1994,UPI
110,D,103rd,OH-02,Bill Gradison,R,Took a job with Health Insurance Association of America,1/31/1993,Science Corruption
111,C,103rd,MS-02,Mike Espy,D,Appointed to Clinton administration,1/22/1993,Washington Post
112,C,103rd,CA-17,Leon Panetta,D,Appointed to Clinton administration,1/21/1993,Washington Post
113,C,103rd,TX-SEN,Lloyd Bentsen,D,Appointed to Clinton administration,1/20/1993,New York Times
114,C,103rd,WI-01,Les Aspin,D,Appointed to Clinton administration,1/20/1993,U.S. Congress
115,C,102nd,TN-SEN,Al Gore Jr.,D,Elected vice president,1/2/1993,CQ Almanac
116,G,102nd,ND-SEN,Jocelyn Burdick,D,Appointment was expiring; resigned to let successor start early,12/14/1992,New York Observer
117,C,102nd,ND-SEN,Kent Conrad,D,Elected to North Dakota's other U.S. Senate seat,12/14/1992,U.S. Senate
118,E,102nd,VA-07,French Slaughter,R,Series of strokes,11/4/1991,Washington Post
119,D,102nd,PA-02,William Gray III,D,Took a job with United Negro College Fund,9/11/1991,Los Angeles Times
120,E,102nd,AZ-02,Mo Udall,D,Parkinson's disease,5/4/1991,Baltimore Sun
121,C,102nd,TX-03,Steve Bartlett,R,To focus on his run for Dallas mayor,3/11/1991,D Magazine
122,C,102nd,IL-15,Ed Madigan,R,Appointed to Bush administration,3/8/1991,U.S. Congress
123,C,102nd,CA-SEN,Pete Wilson,R,Elected California governor,1/7/1991,U.S. Congress
124,C,101st,NH-01,Bob Smith,R,Appointed U.S. senator,12/7/1990,U.S. Congress
125,C,101st,NH-SEN,Gordon Humphrey,R,Elected New Hampshire state senator,12/4/1990,UPI
126,C,101st,HI-02,Daniel Akaka,D,Appointed U.S. senator,5/16/1990,U.S. Congress
127,C,101st,NJ-01,Jim Florio,D,Elected New Jersey governor,1/16/1990,U.S. House of Representatives
128,B,101st,NY-18,Robert Garcia,D,Convicted of extortion,1/7/1990,New York Times
129,C,101st,NY-14,Guy Molinari,R,Elected Staten Island borough president,12/31/1989,U.S. House of Representatives
130,B,101st,TX-12,Jim Wright,D,Ethics investigation into personal financial gain,6/30/1989,Washington Post
131,B,101st,CA-15,Tony Coelho,D,Personal finances under investigation,6/15/1989,New York Times
132,C,101st,WY-AL,Dick Cheney,R,Appointed to Bush administration,3/17/1989,U.S. Congress
133,C,101st,IN-SEN,Dan Quayle,R,Elected vice president,1/3/1989,U.S. Congress
134,C,101st,IN-04,Dan Coats,R,Appointed U.S. senator,1/3/1989,U.S. Congress
135,B,100th,NY-19,Mario Biaggi,D,Convicted twice of corruption,8/8/1988,New York Times
136,C,100th,LA-04,Buddy Roemer,D,Elected Louisiana governor,3/14/1988,New York Times
137,C,100th,TN-05,Bill Boner,D,Elected Nashville mayor,10/5/1987,U.S. House of Representatives
138,D,99th,NC-03,Charles Whitley,D,"Was retiring & left early, probably to take a job with the Tobacco Institute",12/31/1986,Science Corruption
139,C,99th,NC-10,Jim Broyhill,R,Appointed U.S. senator,7/13/1986,U.S. Congress
140,C,99th,HI-01,Cecil Heftel,D,To focus on his run for governor,7/11/1986,UPI
141,C,99th,TX-01,Sam Hall,D,Appointed federal judge,5/27/1985,UPI
142,E & G,98th,MA-SEN,Paul Tsongas,D,Retired due to ill health; resigned early to give successor seniority,1/2/1985,WBUR
143,D,98th,IL-14,Tom Corcoran,R,Recess-appointed to Synthetic Fuels Corporation board,11/28/1984,Nexis search
144,C,98th,IL-01,Harold Washington,D,Elected Chicago mayor,4/30/1983,U.S. House of Representatives
145,F,98th,TX-06,Phil Gramm,D,Dem Party ostracized him; resigned to seek seat as Republican,1/5/1983,New York Times
146,G,97th,NJ-SEN,Nicholas Brady,R,Appointment was expiring; resigned to let successor start early,12/26/1982,New York Times
147,B,97th,NY-14,Fred Richmond,D,"Tax evasion, drug possession, campaign-finance irregularities",8/25/1982,UPI
148,C,97th,CA-30,George Danielson,D,Appointed California appellate judge,3/9/1982,U.S. House of Representatives
149,B,97th,PA-03,Raymond Lederer,D,Bribery and conspiracy in Abscam scandal,4/29/1981,Associated Press
150,A,97th,MS-04,Jon Hinson,R,Extramarital affair (same-sex),4/13/1981,Zimbio
151,B,97th,NJ-SEN,Pete Williams,D,Bribery and conspiracy in Abscam scandal,3/11/1981,New York Times
152,E,97th,MD-05,Gladys Spellman,D,Brain-dead after heart attack,2/24/1981,New York Times
153,C,97th,MI-04,David Stockman,R,Appointed to Reagan administration,1/27/1981,The Atlantic
154,G,96th,AL-SEN,Donald Stewart,D,Lost reelection bid; resigned to let successor start early,1/1/1981,UPI
155,G,96th,FL-SEN,Dick Stone,D,Lost reelection bid; resigned to let successor start early,12/31/1980,U.S. Congress
156,G,96th,NH-SEN,John Durkin,D,Lost reelection bid; resigned to let successor start early,12/29/1980,New Hampshire Union Leader
157,B,96th,NJ-04,Frank Thompson,D,Bribery and conspiracy in Abscam scandal,12/29/1980,New York Times
158,B,96th,SC-06,John Jenrette,D,Bribery and conspiracy in Abscam scandal,12/10/1980,UPI
159,B,96th,PA-01,Michael Myers,D,Bribery in Abscam scandal,10/2/1980,UPI
160,B,96th,MI-13,Charles Diggs Jr.,D,Censured for mail fraud and kickbacks from staff,6/3/1980,U.S. House of Representatives
161,C,96th,ME-SEN,Ed Muskie,D,Appointed to Carter administration,5/7/1980,GovTrack
162,C,96th,LA-03,Dave Treen,R,Elected Louisiana governor,3/10/1980,U.S. House of Representatives
163,B,96th,PA-11,Dan Flood,D,Bribery and conspiracy,1/31/1980,UPI
164,C,96th,IL-10,Abner Mikva,D,Appointed federal judge,9/26/1979,U.S. House of Representatives
165,G,95th,VA-SEN,William Scott,R,Retired; resigned early to give successor seniority,1/1/1979,Washington Post
166,G,95th,CA-03,John Moss,D,Retired; probably resigned early to receive higher pension?,12/31/1978,Los Angeles Times
167,G,95th,CA-14,John McFall,D,Lost reelection; might've left early to receive higher pension or lobby,12/31/1978,Washington Post
168,G,95th,CA-33,Del Clawson,R,Retired; probably resigned early to receive higher pension?,12/31/1978,Washington Post
169,G,95th,KS-05,Joe Skubitz,R,Retired; resigned early to give successor seniority,12/31/1978,Salina Journal
170,G,95th,MI-10,Al Cederberg,R,Lost reelection; probably resigned early to receive higher pension?,12/31/1978,U.S. House of Representatives
171,G,95th,NY-09,James Delaney,D,Retired; probably resigned early to receive higher pension?,12/31/1978,U.S. House of Representatives
172,G,95th,TX-06,Olin Teague,D,Retired; probably resigned early to receive higher pension?,12/31/1978,U.S. House of Representatives
173,G,95th,TX-11,Bob Poage,D,Retired; probably resigned early to receive higher pension?,12/31/1978,U.S. House of Representatives
174,G,95th,TX-17,Omar Burleson,D,Retired; probably resigned early to receive higher pension?,12/31/1978,U.S. House of Representatives
175,G,95th,WY-SEN,Clifford Hansen,R,Retired; resigned early to give successor seniority,12/31/1978,Associated Press
176,G,95th,WY-AL,Teno Roncalio,D,Retired; probably resigned early to receive higher pension?,12/30/1978,U.S. House of Representatives
177,G,95th,MN-SEN,Wendell Anderson,D,Lost reelection bid; resigned to let successor start early,12/29/1978,U.S. Congress
178,G,95th,MS-SEN,James Eastland,D,Retired; resigned early to give successor seniority,12/27/1978,U.S. Senate
179,C,95th,MS-04,Thad Cochran,R,Appointed U.S. senator,12/26/1978,U.S. Congress
180,G,95th,KS-SEN,James Pearson,R,Retired; resigned early to give successor seniority,12/23/1978,Lawrence Journal-World
181,G,95th,MT-SEN,Paul Hatfield,D,Appointment was expiring; resigned to let successor start early,12/14/1978,U.S. Congress
182,C,95th,MT-01,Max Baucus,D,Appointed U.S. senator,12/14/1978,U.S. Congress
183,F,95th,NJ-14,Joseph LeFante,D,Dem machine boss told him to,12/14/1978,Washington Post
184,G,95th,AL-SEN,Maryon Allen,D,Appointment was expiring; resigned to let successor start early,11/7/1978,U.S. Congress
185,G,95th,MN-SEN,Muriel Humphrey,D,Appointment was expiring; resigned to let successor start early,11/7/1978,U.S. Congress
186,C,95th,NY-18,Ed Koch,D,Elected New York City mayor,12/31/1977,New York Times
187,C,95th,NY-21,Herman Badillo,D,Appointed New York City deputy mayor,12/31/1977,U.S. House of Representatives
188,B,95th,LA-01,Richard Tonry,D,Federal inquiry into voter fraud & illegal campaign contributions,5/4/1977,Roll Call
189,C,95th,GA-05,Andrew Young,D,Appointed to Carter administration,1/29/1977,Georgia Encyclopedia
190,C,95th,MN-07,Bob Bergland,D,Appointed to Carter administration,1/22/1977,New York Times
191,C,95th,WA-07,Brock Adams,D,Appointed to Carter administration,1/22/1977,Washington Post
192,G,94th,CA-SEN,John Tunney,D,Lost reelection bid; resigned to let successor start early,1/1/1977,UPI
193,C,94th,MI-07,Don Riegle Jr.,D,Appointed U.S. senator,12/30/1976,U.S. Congress
194,C,94th,MN-SEN,Walter Mondale,D,Elected vice president,12/30/1976,U.S. Congress
195,G,94th,OH-SEN,Robert Taft Jr.,R,Lost reelection bid; resigned to let successor start early,12/28/1976,Coshocton Tribune
196,G,94th,RI-SEN,John Pastore,D,Retired; resigned early to give successor seniority,12/28/1976,Arizona Republic
197,G,94th,MO-SEN,Stuart Symington,D,Retired; resigned early to give successor seniority,12/27/1976,Jefferson City Post-Tribune
198,G,94th,NE-SEN,Roman Hruska,R,Retired; resigned early to give successor seniority,12/27/1976,Lincoln Star
199,A,94th,OH-18,Wayne Hays,D,Extramarital affair/paying his mistress a salary,9/1/1976,New York Times
200,C,94th,TX-22,Bob Casey,D,Appointed to Ford administration,1/22/1976,U.S. Congress
201,D,94th,NY-39,James Hastings,R,Took a job with Associated Industries of New York,1/20/1976,Milwaukee Journal
202,F,94th,NH-SEN,Norris Cotton,R,To yield to the winner of the controversial NH-SEN re-vote,9/18/1975,U.S. Congress
203,C,94th,TN-05,Richard Fulton,D,Elected Nashville mayor,8/14/1975,U.S. Congress
204,G,93rd,AR-SEN,J. William Fulbright,D,Lost reelection bid; quit to go on vacation & receive higher pension,12/31/1974,New York Times
205,G,93rd,CA-10,Charles Gubser,R,Retired; probably resigned early to receive higher pension?,12/31/1974,U.S. Congress
206,G,93rd,CA-19,Chet Holifield,D,Retired; probably resigned early to receive higher pension?,12/31/1974,U.S. Congress
207,G,93rd,CA-32,Craig Hosmer,R,Retired; probably resigned early to receive higher pension?,12/31/1974,U.S. Congress
208,G,93rd,CA-34,Richard Hanna,D,Retired; probably resigned early to receive higher pension?,12/31/1974,Los Angeles Times
209,B & G,93rd,FL-SEN,Ed Gurney,R,"Retired; might've left early for pension, seniority, or indictment",12/31/1974,Orlando Sentinel
210,G,93rd,IL-15,Leslie Arends,R,Retired; probably resigned early to receive higher pension?,12/31/1974,U.S. Congress
211,G,93rd,IL-24,Ken Gray,D,Retired; probably resigned early to receive higher pension?,12/31/1974,U.S. Congress
212,G,93rd,KY-01,Frank Stubblefield,D,Lost reelection; probably resigned early to receive higher pension?,12/31/1974,U.S. Congress
213,G,93rd,MA-03,Harold Donohue,D,Retired; probably resigned early to receive higher pension?,12/31/1974,U.S. Congress
214,G,93rd,MI-06,Charles Chamberlain,R,Retired; probably resigned early to receive higher pension?,12/31/1974,U.S. Congress
215,G,93rd,MI-17,Martha Griffiths,D,Retired; probably resigned early to receive higher pension?,12/31/1974,U.S. Congress
216,G,93rd,MN-02,Ancher Nelsen,R,Retired; probably resigned early to receive higher pension?,12/31/1974,U.S. Congress
217,G,93rd,MN-08,John Blatnik,D,Retired; probably resigned early to receive higher pension?,12/31/1974,U.S. Congress
218,G,93rd,NE-03,David Martin,R,Retired; probably resigned early to receive higher pension?,12/31/1974,U.S. Congress
219,F & G,93rd,NH-SEN,Norris Cotton,R,Retired; might've left early for pension or to force R appointment in controversial NH-SEN,12/31/1974,U.S. Senate
220,C,93rd,NH-01,Louis Wyman,R,Appointed U.S. senator,12/31/1974,U.S. Congress
221,G,93rd,NJ-07,William Widnall,R,Lost reelection; probably resigned early to receive higher pension?,12/31/1974,U.S. Congress
222,G,93rd,NY-14,John Rooney,D,Retired; probably resigned early to receive higher pension?,12/31/1974,U.S. Congress
223,C,93rd,NY-15,Hugh Carey,D,Elected New York governor,12/31/1974,U.S. Congress
224,G,93rd,NY-29,Carleton King,R,Lost reelection; probably resigned early to receive higher pension?,12/31/1974,U.S. Congress
225,G,93rd,NY-37,Thaddeus Dulski,D,Retired; probably resigned early to receive higher pension?,12/31/1974,U.S. Congress
226,G,93rd,NC-SEN,Sam Ervin,D,Retired; resigned early to receive higher pension,12/31/1974,Burlington Daily Times-News
227,G,93rd,OH-23,William Minshall,R,Retired; probably resigned early to receive higher pension?,12/31/1974,U.S. Congress
228,G,93rd,OR-03,Edith Green,D,Retired; probably resigned early to receive higher pension?,12/31/1974,U.S. Congress
229,G,93rd,PA-25,Frank Clark,D,Lost reelection; probably resigned early to receive higher pension?,12/31/1974,U.S. Congress
230,G,93rd,SC-03,W.J. Bryan Dorn,D,Retired; probably resigned early to receive higher pension?,12/31/1974,U.S. Congress
231,G,93rd,SC-05,Tom Gettys,D,Retired; probably resigned early to receive higher pension?,12/31/1974,U.S. Congress
232,G,93rd,TX-21,O.C. Fisher,D,Retired; probably resigned early to receive higher pension?,12/31/1974,U.S. Congress
233,G,93rd,VA-10,Joel Broyhill,R,Lost reelection; probably resigned early to receive higher pension?,12/31/1974,U.S. Congress
234,G,93rd,WA-03,Julia Butler Hansen,D,Retired; probably resigned early to receive higher pension?,12/31/1974,U.S. Congress
235,G,93rd,WI-03,Vernon Thomson,R,Lost reelection; probably resigned early to receive higher pension?,12/31/1974,U.S. Congress
236,G,93rd,WI-09,Glenn Davis,R,Lost reelection; probably resigned early to receive higher pension?,12/31/1974,U.S. Congress
237,G,93rd,KY-SEN,Marlow Cook,R,Lost reelection bid; resigned to let successor start early,12/27/1974,"""Kentucky's Governors"""
238,G,93rd,OH-SEN,Howard Metzenbaum,D,Appointment was expiring; resigned to let successor start early,12/23/1974,Logan Daily News
239,G,93rd,UT-SEN,Wallace Bennett,R,Retired; resigned early to give successor seniority,12/20/1974,New York Times
240,G,93rd,NV-SEN,Alan Bible,D,Retired; resigned early to give successor seniority,12/17/1974,Las Vegas Review-Journal
241,C,93rd,CA-06,Bill Mailliard,R,Appointed to Nixon administration,3/5/1974,New York Times
242,C,93rd,MI-08,James Harvey,R,Appointed federal judge,1/31/1974,Ballotpedia
243,C,93rd,OH-SEN,Bill Saxbe,R,Appointed to Nixon administration,1/3/1974,American Presidency Project
244,D,93rd,OH-01,William Keating,R,Took a job with Cincinnati Enquirer,1/3/1974,Toledo Blade
245,C,93rd,MI-05,Gerald Ford,R,Appointed vice president,12/6/1973,U.S. Congress
246,G,92nd,LA-SEN,Elaine Edwards,D,Appointment was expiring; resigned to let successor start early,11/13/1972,Milwaukee Journal
247,C,92nd,VA-06,Dick Poff,R,Appointed to Virginia Supreme Court,8/29/1972,Washington Post
248,C,92nd,LA-07,Edwin Edwards,D,Elected Louisiana governor,5/9/1972,U.S. Congress
249,D,92nd,MA-05,Bradford Morse,R,Took a job with United Nations,5/1/1972,Los Angeles Times
250,C,92nd,IL-15,Charlotte Reid,R,Appointed to Nixon administration,10/7/1971,U.S. House of Representatives
251,C,92nd,VT-AL,Robert Stafford,R,Appointed U.S. senator,9/16/1971,U.S. Congress
252,C,92nd,MD-01,Rogers Morton,R,Appointed to Nixon administration,1/29/1971,Washington Post
253,G,91st,CA-SEN,George Murphy,R,Lost reelection bid & left early; unclear why,1/2/1971,New York Times
254,C,91st,CA-38,John Tunney,D,Appointed U.S. senator,1/2/1971,U.S. Congress
255,G,91st,DE-SEN,John Williams,R,Retired; resigned early to give successor seniority,12/31/1970,Delaware Historical Society
256,C,91st,DE-AL,William Roth,R,Appointed U.S. senator,12/31/1970,Delaware Historical Society
257,C,91st,NJ-06,Bill Cahill,R,Elected New Jersey governor,1/19/1970,U.S. Congress
258,C,91st,NJ-08,Charles Joelson,D,Appointed New Jersey superior court judge,9/4/1969,U.S. Congress
259,C,91st,IL-13,Donald Rumsfeld,R,Appointed to Nixon administration,5/25/1969,White House
260,C,91st,MT-02,James Battin,R,Appointed federal judge,2/27/1969,U.S. Congress
261,C,91st,CA-27,Ed Reinecke,R,Appointed California lieutenant governor,1/21/1969,Lieutenant Governor Blog
262,C,91st,WI-07,Melvin Laird,R,Appointed to Nixon administration,1/21/1969,U.S. Congress
263,C,90th,NY-24,Paul Fino,R,Elected New York Supreme Court justice,12/31/1968,U.S. Congress
264,G,90th,MO-SEN,Edward Long,D,Lost reelection bid; resigned to let successor start early,12/27/1968,Missourinet
265,G,90th,KY-SEN,Thruston Morton,R,Retired; resigned early to give successor seniority,12/16/1968,Orlando Sentinel
266,C,90th,MS-03,John Bell Williams,D,Elected Mississippi governor,1/16/1968,U.S. Congress
267,C,90th,NY-13,Abraham Multer,D,Elected New York Supreme Court justice,12/31/1967,U.S. Congress
