,Performance,Student ID
102,Good,921d665b6df4cfe3
103,Great,5ee16a6effb6b933
104,Terrible,0da671f6c07e3992
105,Outstanding,db2481422a864c14
106,Above Average,8a90c16a641f2359
107,Outstanding,750ea5b8df01f491
108,Perfect,07d2555b3c59c51e
109,Failure,888a3144e95be4d0
110,Below Average,3689a4e9754c36c6
111,Average,059f5b8ad27a4e3c
112,Terrible,eed348a94ed4decd
113,Outstanding,9ea78cc66f37da44
114,Terrible,e1cbcbb3058a7fe4
115,Below Average,e94fa824c7caeef5
116,Average,c76f820eedc0e080
117,Good,4bde3856668fbae5
118,Above Average,9ca56c1e60a29c49
119,Bad,f873dafb7aa5505e
120,Good,d955563990b9a4e0
121,Above Average,fd5dd9617232b8e2
122,Outstanding,1f4ff6c4aedfa0d9
123,Bad,27feb2c8543940ac
124,Excellent,4f789c55d9e21c27
125,Perfect,e1adcdbe462e00a9
126,Excellent,78e6ca2a56809a73
127,Abysmal Failure,315b513a7aa7bf74
128,Good,003f9bbc0fc1e9fc
129,Good,3dff6ddfbfa65d19
130,Below Average,36816b43fa4fb8e4
131,Abysmal Failure,0189e328ea838762
132,Horrible,e80152cd423faa13
133,Excellent,5aa831adc522c2c9
134,Perfect,855d313cdb137eb3
135,Below Average,b9c53d92ef1dff34
136,Terrible,0b6d9ca0dea49032
137,Perfect,9a4dd6b699bbd4ba
138,Terrible,a90af10b652337e4
139,Horrible,cec66c5b1dad39fa
140,Excellent,ca81ac49d796d37f
141,Good,d079202ef776e99a
142,Perfect,c07ea8dfdc1d48b3
143,Unsatisfactory,4d89b632dc369f60
144,Outstanding,88915593d68abb97
145,Failure,e1c819b83c33dc8b
146,Abysmal Failure,d5725eadcb0d643c
147,Outstanding,d04b16e79c34e938
148,Horrible,4ee72d886a70a903
149,Perfect,9bb8acca07902d56
150,Perfect,d7085845859d997a
151,Good,3c321d43b0cc0afc
152,Terrible,fd976f9f5f491c4b
153,Good,44a86a60d9233648
154,Excellent,3121816f1bbe1f21
155,Below Average,78cb2a8fa0ccc25f
156,Abysmal Failure,ba50084572881bf8
157,Outstanding,65d1b55e4f3371b3
158,Great,1b05f495f29f544c
159,Average,a47d775c1b6e7f63
160,Failure,e6c393f4e0bb5493
161,Average,888a5c1d93462a78
162,Terrible,ab7c28d810f4845c
163,Good,af19b4e6d8ed67c7
164,Great,e5620b3ab218b9f9
165,Abysmal Failure,1d855bdab630832d
166,Excellent,f2230e9e382dcb3c
167,Terrible,a8b2447f4b706d95
168,Great,880c7482ff9d5796
169,Abysmal Failure,6db084bb65d2962e
170,Great,d1fc4a54f949613c
171,Great,512afb62e55017b4
172,Above Average,e59c5bc3e6b0fa01
173,Horrible,539d61808b20dc39
174,Perfect,d5a408261bd3270f
175,Perfect,66a0e7f4ca7a0d94
176,Bad,3ebd55d1c69d49ec
177,Outstanding,302329cc0319c492
178,Below Average,df986482f6a42fab
179,Perfect,c46848f8bc3214e6
180,Abysmal Failure,dee703abf3486a76
181,Average,7f63ea377bcd0727
182,Failure,ecf49bd6183674ce
183,Terrible,22a9d7e7a7c66de9
184,Good,44a97fb3e27ea8e9
185,Abysmal Failure,e8c907484a73d50e
186,Good,6ce2862b473d919c
187,Above Average,66a206cda6ab5800
188,Terrible,042341642b9474c1
189,Perfect,9cf0e75c057b2932
190,Good,33d73234825a52f7
191,Outstanding,a0c77e88a92edbc9
192,Horrible,1e4f4fee47d2c7f3
193,Average,b48d7de188be8904
194,Horrible,7e74ae9f0ddc4767
195,Excellent,955f0936a07560e8
196,Below Average,63fe4627b489786b
197,Excellent,bb4cc94ab67955b7
198,Abysmal Failure,de983ed629670bf5
199,Terrible,09055f523cb12acf
200,Below Average,2b439a79428c4dfb
201,Bad,38d0e1f88cc8ff28
202,Terrible,76aaefda76574142
203,Unsatisfactory,89700441ab0cdd91
204,Average,ec56658259875804
205,Unsatisfactory,acb9394b44e79c70
206,Average,324cbbb8ed2b0923
207,Average,cc2a5ebd00c8c1db
208,Outstanding,c73f5cddc05ce596
209,Above Average,bb4e2de2165fad50
210,Average,43f90d37433ee96c
211,Bad,37435ce6b89d1c21
212,Below Average,0cfe70c5135634b0
213,Good,402fc9ce50df7982
214,Failure,d2d5a8f244d5d1a0
215,Terrible,444388a8803f3f36
216,Good,f7f434a38cb645c5
217,Horrible,ff8944b66986d289
218,Perfect,76106a6a8842a205
219,Bad,301b54844e032e7c
220,Horrible,038ceb77665b425e
221,Perfect,67b6cf03e6b09351
222,Unsatisfactory,32c97f7d5039cc77
223,Bad,fc10bc88eb73b22f
224,Below Average,ab0a6c76480d7eb1
225,Excellent,f7ffebe78b8669e0
226,Horrible,2ec7000dd81fb051
227,Good,46f9b53dbd4d1c05
228,Good,cf908789f7f07064
229,Below Average,749ac3c5571006d2
230,Above Average,fbca761ea7818021
231,Average,93813f5584496451
232,Good,64ae2c817deb91da
233,Bad,01f3552170f26478
234,Good,529d2cb4ab29608c
235,Unsatisfactory,fd8f7ddb070bc5ef
236,Abysmal Failure,26fc3d7ce0a207fd
237,Horrible,9e8be18859c7a675
238,Average,484d8dc84c706720
239,Below Average,4e6d84c410e791e9
240,Unsatisfactory,2dc58c6429240eb6
241,Unsatisfactory,608d6f7c635a9cd5
242,Outstanding,e9766ae27a2d7984
243,Below Average,07e6ccd0979de5f8
244,Average,e31bbae4cb8cd06f
245,Good,01b2d7db930d9d3a
246,Good,03f69ecdc84527f3
247,Excellent,e296fd0eb65a7b89
248,Terrible,6b96af650364ce1b
249,Great,e4867610b85aec10
250,Below Average,e002d7f3218b0b67
251,Average,fc25d9c3dd43ee04
252,Excellent,1d68998f933086f8
253,Great,44a49e039cebca16
254,Failure,83b77711de3eab73
255,Failure,d7785c60bb970544
256,Average,457cc81f67866955
257,Below Average,92d73b80f0bbaa04
258,Unsatisfactory,cef9a80dac92723b
259,Terrible,2f7daacf5d649bfb
260,Great,f6db4609ef1e1655
261,Average,061a78eddd2923ec
262,Perfect,c1bf6779e1672321
263,Excellent,bfe7ff359be7eda9
264,Outstanding,80dd008c68f08833
265,Unsatisfactory,990f4fca5c35c4b3
266,Terrible,2610173672baa1b8
267,Bad,dd1fc56d5e15e769
268,Bad,bafed5c3a1d9fbf9
269,Great,cc6848de34124025
270,Below Average,c460590966540c62
271,Excellent,e0a3b3fe6e847ab2
272,Below Average,35c267c55815eaa4
273,Above Average,9a55bad664554e02
274,Failure,a71b68244a3a4d17
275,Above Average,fa0ab00835d30d93
276,Horrible,75f403e84bac28f9
277,Outstanding,17b8f10cd1608d70
278,Average,9367367ae1f2ed61
279,Abysmal Failure,d72844639d90ee04
280,Outstanding,8b71ea59d24d6071
281,Abysmal Failure,56c52e1912c479af
282,Horrible,5fc503ed747f7502
283,Perfect,142f8ec862eb808f
284,Excellent,98abcf523035ec47
285,Failure,e9fcf1f0f96d4410
286,Bad,61ca4645608c920c
287,Perfect,55f26c77479a8e9d
288,Outstanding,90e598c444a85dbf
289,Below Average,c75889ff669deaf4
290,Perfect,0d246087323ccdd8
291,Outstanding,dfe5bb5c6ede92c5
292,Excellent,00fd15b1e89d7e6b
293,Bad,c4ff81ec2b3dd0df
294,Average,97be3a812b268b1d
295,Terrible,828372c5f6a26e60
296,Horrible,dac3013302392559
297,Horrible,6ed6aaa57f4b1739
298,Below Average,31fe3735086f8097
299,Average,e0665208adc38ea1
300,Perfect,d47d5e616833edae
301,Terrible,1365bbc780eb70b7
302,Excellent,e42101ca2903bb81
303,Terrible,228b2fffb320276e
304,Excellent,729a409815899df2
305,Abysmal Failure,17b5772184528019
306,Good,051a756556eced00
307,Outstanding,3e1177ccb8a9b1d1
308,Failure,2ab7c8a86dc041b4
309,Horrible,66c143b8a793b320
310,Horrible,a4a2cbe64af620f7
311,Bad,79d2070db2b0ae45
312,Average,c83e7c06bbda8c85
313,Bad,ecf2177b4484d52a
314,Abysmal Failure,db6e42ffb6c7523a
315,Terrible,9602e3bcf8069b0f
316,Excellent,16ce2fc6a35e2912
317,Above Average,9ef9ba2f351af2a8
318,Bad,d752120e4abb5976
319,Abysmal Failure,7f7509717aceabbd
320,Perfect,3cd5d3da83aab333
321,Failure,bf5183e741a69c84
322,Below Average,3cd0055ba41c0c87
323,Above Average,a5d2de9f8ba70d17
324,Perfect,ae02f1e9ff6b813e
325,Unsatisfactory,39453a30cc338f55
326,Failure,628ec344cb9c3bda
327,Abysmal Failure,2f76d1bf7350ce89
328,Good,61d80786344e0d89
329,Above Average,f195a869481cd4f5
330,Below Average,3e31359d41240971
331,Terrible,5148fe32de143478
332,Average,c1b97aa1d5102ece
333,Unsatisfactory,c0259f853d365d4f
334,Great,eddccee44418dced
335,Outstanding,cca99fd40478b5f2
336,Outstanding,4bb8603e246a88da
337,Above Average,1e253de344c521bd
338,Average,37ac6c4f6f7bd50c
339,Bad,254f8d2828cb3da6
340,Below Average,1f42b299b22ce203
341,Unsatisfactory,8a7826969ab2610a
342,Failure,2263595a3b40fce5
343,Abysmal Failure,cfd993d3a060f722
344,Outstanding,eab9542ffa6bbb7f
345,Outstanding,44b4f1a182be24d8
346,Great,4af9aed10248f0ba
347,Perfect,d85b692230dfe813
348,Abysmal Failure,5b758c86cae91593
349,Good,a7c2f9cc7efa4d04
350,Unsatisfactory,fa2360c6b8749c53
351,Failure,3cd210b1174a1eb1
352,Abysmal Failure,fa4347ff0d445ee3
353,Abysmal Failure,e99e784892eaca0e
354,Terrible,49d08e41e49ce441
355,Terrible,9813fc7a7c1b1bcf
356,Perfect,7f2a33a81c60857c
357,Perfect,020d4adde6402359
358,Great,409d90cdc47d084f
359,Failure,e09e296b40a01a2a
360,Good,cac936a7219b1f6e
361,Unsatisfactory,c090c095c5599f61
362,Outstanding,f152ccc118b9b7b5
363,Outstanding,6553a3c62ac1ed97
364,Good,06f067cfca5b31eb
365,Outstanding,3e67baa1897e600b
366,Below Average,0a970aa9ea758293
367,Unsatisfactory,8bb842f3b81776d5
368,Average,93730bc2a59ba04e
369,Horrible,86737b74a1114438
370,Failure,080f1cd2cf3b95a3
371,Outstanding,c613e483043a5196
372,Perfect,42e8e5142b0a1cb1
373,Outstanding,fe0e4412a35a08c9
374,Perfect,9e4502ad11a107c5
375,Below Average,368805ad0401436d
376,Excellent,0702287d9d3ac46f
377,Horrible,81e56afe6c7eaecc
378,Horrible,bd27c764dcc3fc33
379,Terrible,ef33326d2dbb551f
380,Outstanding,d3086c0c8e024de6
381,Below Average,ec68869f6e592c53
382,Below Average,3ebca201680f48b1
383,Below Average,25acde43ae9891cf
384,Below Average,c04a5792fc6a66fa
385,Bad,8af6e029cdf75347
386,Terrible,701e0d84858ee52b
387,Perfect,5b0ae34595e00d3e
388,Abysmal Failure,6c792c150eed149d
389,Abysmal Failure,cb01c18058de5a11
390,Above Average,1b12f0ef349044d3
391,Excellent,5fe4d1586e6e9f72
392,Great,24a144d5c4322636
393,Unsatisfactory,a316e5039339efaf
394,Terrible,bc5db8887ae294a5
395,Average,98905cd3bdd17c55
396,Perfect,e6f827fd555eef2d
397,Unsatisfactory,5e4f1fa636e44deb
398,Above Average,ef9b37ddf7f19289
399,Great,ae56a7f764c1d9d0
400,Outstanding,78f272bf8b2344bb
401,Good,298efb6469354f89
402,Perfect,8a4b1510b68e5700
403,Great,4a9926e32e749a14
404,Bad,91b7cd1bdbaddc7f
405,Outstanding,c23a2b60828d51bd
406,Perfect,0a2fc83cebe4a513
407,Excellent,55637aae743b4327
408,Abysmal Failure,3ff5c32d3a6cafeb
409,Outstanding,5d68c72aaf2af475
410,Above Average,a6e67e40e038ddaf
411,Perfect,8c2d66550c7a2c70
412,Perfect,26c8070824b17afd
413,Excellent,3837c6648f8658a9
414,Average,ed00db394a5bbe4e
415,Failure,07aa3b77bbfc0512
416,Abysmal Failure,faacc4036612a291
417,Average,cc41864eb50cfc0a
418,Good,5466583b8d8d981a
419,Below Average,4d1d5331b1cec622
420,Average,5a27aa384d54b14c
421,Bad,dabacc9a39088de6
422,Great,fcec0cbec2987171
423,Average,9de178a19368a83c
424,Excellent,4ddc846ccbf5e866
425,Average,be34a840355d89a5
426,Unsatisfactory,5b64bae5fa5a59c0
427,Average,38a17d07f420b736
428,Great,42dd93268cf08ece
429,Below Average,6d1ee56fb5e06b7f
430,Great,580296f99ce4e0e1
431,Bad,4ff5bdebd478e772
432,Abysmal Failure,cafd2cf8734b77ec
433,Average,a52e0e21e43ffea9
434,Great,6b75a244a2f2e4b9
435,Bad,402e24c96e391f9f
436,Great,132b669dbd43960a
437,Failure,3ece732a578bbe23
438,Horrible,dc90d1970780e3fd
439,Great,c2770c00c32f4fdd
440,Failure,b516ba3404dc9b36
441,Terrible,18466d4dc8c886a7
442,Outstanding,a1d47508ed707ab3
443,Unsatisfactory,8c7edc4af53a99fc
444,Failure,48384564bcb89717
445,Unsatisfactory,23141b688c53e7d5
446,Abysmal Failure,57d35f6bd5bb1400
447,Unsatisfactory,2f43301255985aad
448,Outstanding,92f9e445043394bd
449,Good,12eff99409582929
450,Perfect,d5cdab4ce7aef7e9
451,Bad,4c519e3129c953a8
452,Bad,faf51fc7f01cf792
453,Terrible,4923c19d8862db98
454,Below Average,063701920fe5b512
455,Below Average,dd4b80f4ffaff319
456,Unsatisfactory,6648cbe5a0eb681a
457,Terrible,f6d404f361055fee
458,Terrible,2e27097e9d763281
459,Excellent,08e978c14dcd6dca
460,Great,def2414ef052236a
461,Terrible,34804803cd7c66a3
462,Excellent,3bb0c4e30d4947c8
463,Failure,cf7b0669d57e60ae
464,Below Average,fe727bbde6dc0c06
465,Bad,4b5f91c417659565
466,Horrible,08f3bec20e9ca658
467,Great,d2c5e10e46f9f7bc
468,Abysmal Failure,4c06b8c6de517634
469,Great,c7e9d6f66621cced
470,Below Average,289eabd3801587bc
471,Above Average,88a105e50e324d69
472,Terrible,f2deacc781aeaeb6
473,Below Average,f126f6dea046d59b
474,Terrible,62f77421c2c4bfee
475,Abysmal Failure,811e37148a5c3332
476,Unsatisfactory,6758f2154adad822
477,Unsatisfactory,95954e4a64a265d6
478,Below Average,ac84cdf528ffbcc3
479,Bad,e68c18ff608ad6c2
480,Excellent,f26f957531447611
481,Abysmal Failure,4b2cbb46652d038c
482,Above Average,96107e036299bb53
483,Above Average,25d9b689d66f9242
484,Horrible,ffa414b8b37b50b3
485,Below Average,83b38273d3612743
486,Excellent,ca3ec5acd0d2c3f3
487,Outstanding,d5224690dfde282b
488,Bad,68ad689c64dc669b
489,Unsatisfactory,db76d638f335653f
490,Above Average,512a9a9d5256d685
491,Horrible,d10b8b1e2434f8b3
492,Terrible,d4b7fec3c4f0df42
493,Great,2f408a0a1c369af9
494,Average,a7aab038976333fa
495,Abysmal Failure,29d07c799c5c7826
496,Failure,a5a455e2fba145fe
497,Bad,3ab07e9269c9abae
498,Abysmal Failure,97bb270a9c0a3c4b
499,Great,c33c0334c66c781b
500,Outstanding,6e89ba17805580d6
501,Unsatisfactory,2ddec380194f99e3
502,Below Average,5f737b736661e579
503,Failure,3acb600747362377
504,Excellent,74fe1e8511e6af79
505,Unsatisfactory,186d47b186edad17
506,Terrible,624d368815626231
507,Above Average,bb35ba5df43bb360
508,Great,eea48a07a0fe529b
509,Failure,ea191b01f551b852
510,Outstanding,47d6dfd5b38e8f3b
511,Perfect,ea00a66e398442db
512,Abysmal Failure,b7897b522ab277b2
513,Great,440dae2f8bc45d9f
514,Failure,f981506ef79ad2fc
515,Bad,380a0bc658b7da2c
516,Excellent,4ab0f77fe2d7f6fc
517,Outstanding,a90f682e5015349f
518,Good,ef4970a8c2ff7425
519,Failure,6e6e9192fd346735
520,Unsatisfactory,dd3949d2f61110e0
521,Above Average,7831f1adc81dc3ae
522,Excellent,df95dfb94cd4bfb6
523,Below Average,764cf6672b9c3376
524,Good,7c55dc778793c96f
525,Perfect,1784ea131c99330b
526,Unsatisfactory,9406140c2a041487
527,Failure,0a6e0a3dd0c69068
528,Above Average,c4cae0f0bf8bf9e6
529,Below Average,c948a844580d8cd3
530,Outstanding,ba8473206434b358
531,Above Average,b8f62b192502f0b2
532,Below Average,0e3f2e3e140a6c05
533,Failure,8bfba04f68ad05fe
534,Bad,fecc58c506bea475
535,Excellent,e4e7715494a94f59
536,Abysmal Failure,9cb0858263acc5d2
537,Average,d904f128691ec0d2
538,Abysmal Failure,2141daf52b9a24ba
539,Average,9aa0b95c63219256
540,Below Average,4ea761cf3053fc52
541,Below Average,d37ee18482b63e77
542,Unsatisfactory,db9ff404c1b05b8e
543,Average,ae8054adebdf341e
544,Good,3c40188edda63a76
545,Horrible,8060c3030ff84bdb
546,Above Average,244c806dbcc96e2c
547,Bad,7eecf8c20a2ce188
548,Failure,8cfb8baff5c142bc
549,Unsatisfactory,38c800916936536f
550,Good,bc5a5812591b8dee
551,Unsatisfactory,33341e3164fb852d
552,Terrible,78e1aa881373a06d
553,Outstanding,5c3710696236d019
554,Perfect,332d891f6934bc48
555,Abysmal Failure,7ff0b26085286cee
556,Average,d3c8897c236a557d
557,Great,52ed9392c1899bb2
558,Great,1274f34dd5cc7157
559,Average,04670cf7c7a8c71f
560,Above Average,434865b0f7d14929
561,Perfect,6c0cc368efb447dc
562,Great,a1a999ca6b85c443
563,Perfect,46489c72a032bf20
564,Perfect,0f682a0d45175e30
565,Great,00d985b2f7e6f225
566,Failure,e1c322d2680c1611
567,Abysmal Failure,3a5a4e4f89a5075b
568,Unsatisfactory,ebd696349254e3f8
569,Below Average,53324cd71c48f044
570,Terrible,4bb882f792882faa
571,Abysmal Failure,2baa4666cfb1c4c6
572,Outstanding,8946ba85da469bd5
573,Terrible,bffc1a40e6c8ea4c
574,Failure,faf836a8414ea18e
575,Outstanding,6b887d4a79531e2f
576,Below Average,615fb453af3d548e
577,Below Average,72f63e9fd313eb83
578,Outstanding,3d4940232ac4dff0
579,Below Average,8ec668b1979bd87d
580,Outstanding,357fb08cd3bc3be1
581,Terrible,75d4df72adf4d145
582,Average,c06a91f546c39ffe
583,Perfect,3a96d7553276eb70
584,Excellent,4298fe3622b8b53a
585,Outstanding,c3a492a73edeedb9
586,Bad,b15156d20f536b37
587,Perfect,3b674617c16d4726
588,Unsatisfactory,e3f6447729bdaabb
589,Terrible,1365cf2c34615b88
590,Bad,163f5c2846e23a96
591,Below Average,e1a1ef63a910efc9
592,Average,ce6dbb61b108bff1
593,Great,ce9a28ff3b4ab380
594,Bad,19bd00372128f68f
595,Excellent,4b8cca5638915d1c
596,Outstanding,b99e3692f45c5c1e
597,Abysmal Failure,4e1a294602a951ad
598,Terrible,550ad80825779ae3
599,Perfect,d8f2c542ae693b50
600,Terrible,2d75ade5605c7a0d
601,Above Average,891cfd6deea07ed1
602,Above Average,2951b97c4fab52e4
603,Excellent,c4fee2b3f05d7180
604,Bad,0b017cd626b9a84a
605,Terrible,0d2fba0f8e95ae62
606,Perfect,8d614f633e1ee528
607,Average,b3310ec9df9d211c
608,Failure,d05e1da83b7dea70
609,Below Average,44d052613e17cc7c
610,Below Average,69fb108d29626981
611,Perfect,4c5cb84a7372a7d5
612,Abysmal Failure,3ccd5c782e0ef3ac
613,Abysmal Failure,505ce1f842dcb3ed
614,Excellent,5dfffd08371f7fe7
615,Perfect,562991e5f167d757
616,Good,4b7b45008b7b5181
617,Great,170a294f82f4336c
618,Excellent,9f21beb1a7747fb9
619,Perfect,a2ad4eabc08285ba
620,Terrible,2a2277b9c9c23f47
621,Above Average,982cae6dc0bbda5f
622,Average,c8ca6379c31b9aa8
623,Great,df3bf095bee527f7
624,Failure,419bbd278055a823
625,Perfect,6c9e6385ed2889a2
626,Bad,939c81b0ca61cff4
627,Abysmal Failure,f6d6945ff190ee31
628,Terrible,a31cd4f3c4515383
629,Unsatisfactory,3ee299ff9dff717e
630,Perfect,ff9edf43b3135a3a
631,Failure,90147ac058fc7ed1
632,Excellent,37c101ee0b16ebf8
633,Failure,2494de7368f687ca
634,Terrible,77b05389e09f193a
635,Below Average,42013f292c14b9b5
636,Failure,09be922fdac92e1c
637,Failure,516d5c1bff1ef155
638,Above Average,7ac2f1994a8aa96e
639,Terrible,be3ae0119af439bb
640,Bad,9574f1982de37e48
641,Below Average,bf560b33cda8da2c
642,Great,c66b082a38931dd6
643,Above Average,e5ce5426fb5e529f
644,Bad,da8293316df9f7f2
645,Terrible,b293238cc3f64c1b
646,Unsatisfactory,ee8ad0164b6f2cc1
647,Below Average,aa7f856cfcb02f52
648,Below Average,1237c29bec5f9ace
649,Unsatisfactory,9b16f641e75ee65e
650,Perfect,cc49240066fc2e06
651,Terrible,33fe4e41bc934fbb
652,Horrible,ed7072c1a3557cae
653,Great,03a36260cb4ff78f
654,Abysmal Failure,47fbedafd8a9e578
655,Abysmal Failure,1abde62a5c809343
656,Average,8bdb149b16f22265
657,Terrible,e6d1c599ca385199
658,Excellent,524eb3a99a9b462f
659,Unsatisfactory,82174dd1ca1872d4
660,Average,5c98f1e1c63f2eb0
661,Perfect,097243e9fe282e43
662,Above Average,df12f0da4a6a9783
663,Great,3ff5188a41a2f0b6
664,Horrible,85613e53e4d2685d
665,Above Average,4c9770f8621bf2a1
666,Below Average,4fc1c32397ce11b3
667,Failure,d69ce1c51a64cdcc
668,Abysmal Failure,1e2ec7928a5df348
669,Unsatisfactory,14246bdcfbf0934a
670,Excellent,b5e8d4102a60324e
671,Above Average,61c22e433af4c0b3
672,Excellent,b0c167fb7825ff40
673,Abysmal Failure,21c5f5339f441779
674,Great,aa19ff3efeeca0cb
675,Failure,4dfde2c372cb2cd0
676,Great,5a118163ed2c0ae0
677,Great,7033dd7aaf437697
678,Great,4d374009b95f2a70
679,Great,df2592d5b639e4cc
680,Horrible,daab007b0fb81460
681,Average,c980219f5c4d9bc4
682,Perfect,2de79052112796bc
683,Great,88c75479e0cfcdf9
684,Excellent,1425114780fd4827
685,Horrible,9d70a487900ef242
686,Perfect,168dc385345cd5a7
687,Excellent,109614be964b5f04
688,Great,de7676aae4d2f9a1
689,Average,be8070105e7b5ac9
690,Perfect,26ceb9318ecb144f
691,Failure,1231afb20eb5b101
692,Terrible,3b513ca2366d1c89
693,Horrible,aba9dcb66ac40384
694,Great,f28952b4c42ecbbf
695,Abysmal Failure,956447b00a7b3792
696,Below Average,d9c0af2c8b90a305
697,Horrible,275c52cd97e10370
698,Outstanding,e8827857ef653418
699,Horrible,3fe8983ae4c71128
700,Below Average,7a6b8e5e5cf72734
701,Above Average,f964c253b8ab6121
702,Outstanding,56a38712466a691b
703,Horrible,6df13bc4ca5d984d
704,Horrible,a69b9fe8ea0d7879
705,Above Average,9b75d0c72d12f920
706,Outstanding,7091140150eba2bb
707,Perfect,9433aa225048a688
708,Horrible,6e4c9c23dff361eb
709,Outstanding,8acb34fa8104444d
710,Good,b7ae36dca1385262
711,Great,4c4e24c96803f5fd
712,Outstanding,532ffba0ec5f2514
713,Outstanding,9168555862d77ce0
714,Terrible,e15cbb2093933c7f
715,Perfect,080c27f504645d5c
716,Average,0719963e5534a7b6
717,Great,620bb267640b5abd
718,Below Average,e4dd6546744932ca
719,Great,4d16a4229b8fa1f1
720,Good,b1b8038990c2a16e
721,Perfect,c83a38bed0805181
722,Great,ec442cf458c2bddf
723,Average,7cd772629861c93f
724,Above Average,08eabcd8dd4fb402
725,Failure,41130470a1807b22
726,Outstanding,bad34d31b5bdaab7
727,Good,5b8540eae44e1894
728,Great,155925a9c579959b
729,Excellent,fa26d8d049d6938a
730,Unsatisfactory,b2ce70f729332398
731,Terrible,0cc60693bbd9d223
732,Excellent,199fdb6ecfbeeb5a
733,Great,64fadc6633d98092
734,Terrible,3e8d023432b91493
735,Perfect,e3dbc79d8ee85b57
736,Above Average,374c4bb3f59967a2
737,Abysmal Failure,0881c86012c4606f
738,Perfect,1330d93041f86c32
739,Failure,14f08e47ee36c3ad
740,Horrible,a68cc5ccfb65d718
741,Bad,2bccbfd2fa319b62
